               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.04236,            0.039175,           0.0021292,             0.90093,             0.79858,             0.86008,             0.48835,            0.042249,            0.040351,           0.0019051,           0.0096634,           0.0096634,           0.0096634
                  36,             0.04205,            0.038333,           0.0020815,             0.90804,             0.78194,             0.85068,              0.4762,            0.042965,            0.040682,           0.0021277,           0.0096535,           0.0096535,           0.0096535
                  37,            0.041846,            0.038947,            0.002029,             0.89686,             0.81985,             0.87066,             0.50367,            0.041192,            0.039452,           0.0016741,           0.0096436,           0.0096436,           0.0096436
                  38,            0.041418,            0.037905,           0.0018978,             0.91388,             0.82024,             0.86809,             0.50122,            0.041053,             0.03969,           0.0016395,           0.0096337,           0.0096337,           0.0096337
                  39,            0.040993,            0.037973,           0.0018622,             0.91524,             0.80773,             0.87159,             0.49477,            0.041714,            0.039692,            0.001804,           0.0096238,           0.0096238,           0.0096238
                  40,            0.040871,            0.038404,           0.0018971,             0.90132,             0.79888,             0.86118,             0.49908,            0.041471,            0.040185,           0.0018693,           0.0096139,           0.0096139,           0.0096139
                  41,            0.040333,            0.037987,           0.0018607,             0.91827,             0.81627,              0.8688,              0.5148,            0.040781,            0.038886,           0.0017169,            0.009604,            0.009604,            0.009604
                  42,            0.039977,            0.037662,           0.0018095,             0.90354,             0.82128,             0.87308,             0.51083,            0.040441,            0.038652,            0.001423,           0.0095941,           0.0095941,           0.0095941
                  43,            0.039747,            0.037409,           0.0017983,             0.91939,             0.82399,             0.87508,             0.52514,             0.04023,            0.038941,           0.0014762,           0.0095842,           0.0095842,           0.0095842
                  44,            0.039397,            0.036972,           0.0017721,             0.93871,             0.82856,              0.8841,              0.5246,            0.039965,            0.038926,           0.0014071,           0.0095743,           0.0095743,           0.0095743
                  45,            0.039471,            0.037273,           0.0016902,             0.93968,             0.81592,             0.88016,             0.53703,            0.039107,            0.037987,           0.0016642,           0.0095644,           0.0095644,           0.0095644
                  46,            0.039246,            0.036873,           0.0018353,             0.92685,             0.81207,             0.87446,               0.526,              0.0399,            0.038218,           0.0018041,           0.0095545,           0.0095545,           0.0095545
                  47,            0.038584,            0.036417,           0.0017316,             0.93357,             0.84174,             0.89098,             0.54251,            0.038737,            0.037916,           0.0014803,           0.0095446,           0.0095446,           0.0095446
                  48,            0.038532,            0.036426,           0.0017471,             0.90762,             0.82618,             0.87289,             0.52049,            0.040446,               0.039,           0.0016775,           0.0095347,           0.0095347,           0.0095347
                  49,            0.038099,            0.035777,           0.0015851,             0.93502,             0.83393,              0.8877,             0.54658,            0.038328,            0.037246,           0.0014658,           0.0095248,           0.0095248,           0.0095248
                  50,            0.038123,            0.035494,           0.0016848,             0.93929,             0.82876,             0.88488,             0.53463,            0.039413,            0.038181,           0.0016267,           0.0095149,           0.0095149,           0.0095149
                  51,            0.037783,            0.035815,           0.0016326,             0.93593,             0.83906,             0.89376,             0.55219,            0.038272,            0.037543,           0.0013536,            0.009505,            0.009505,            0.009505
                  52,             0.03745,            0.035561,           0.0015412,             0.93862,             0.84325,             0.89187,             0.55418,            0.037737,            0.037198,           0.0014662,           0.0094951,           0.0094951,           0.0094951
                  53,             0.03726,            0.035359,           0.0015423,             0.92746,             0.85027,             0.89492,             0.55434,             0.03777,            0.037217,           0.0013286,           0.0094852,           0.0094852,           0.0094852
                  54,            0.036888,            0.035417,           0.0015524,             0.92719,             0.84393,             0.89155,             0.55993,            0.037949,            0.037163,           0.0016008,           0.0094753,           0.0094753,           0.0094753
                  55,            0.036878,            0.034644,           0.0015289,             0.94244,             0.83579,             0.89086,             0.55859,            0.037504,            0.037263,           0.0012824,           0.0094654,           0.0094654,           0.0094654
                  56,            0.036319,            0.035264,           0.0015078,             0.93869,               0.821,             0.88254,             0.55019,            0.038949,            0.037734,           0.0016142,           0.0094555,           0.0094555,           0.0094555
                  57,             0.03645,             0.03474,           0.0015731,             0.95672,             0.82965,             0.89718,             0.56977,            0.037186,            0.036899,           0.0015452,           0.0094456,           0.0094456,           0.0094456
                  58,            0.036497,            0.035042,           0.0014745,             0.94473,             0.84586,             0.89881,             0.56624,            0.037554,            0.036985,            0.001662,           0.0094357,           0.0094357,           0.0094357
