               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.04592,            0.042156,           0.0024569,             0.88364,             0.75616,             0.83377,             0.43965,            0.045859,            0.042461,           0.0024047,           0.0096634,           0.0096634,           0.0096634
                  36,            0.045818,             0.04121,           0.0025266,             0.86596,             0.78231,             0.83596,             0.44541,             0.04483,            0.041124,           0.0021789,           0.0096535,           0.0096535,           0.0096535
                  37,            0.045747,            0.042106,           0.0024603,              0.8847,             0.75228,             0.82798,             0.44335,            0.044538,            0.041923,           0.0021901,           0.0096436,           0.0096436,           0.0096436
                  38,            0.045322,            0.040974,           0.0022969,             0.89648,             0.76632,             0.82968,             0.45646,            0.044572,            0.041763,           0.0022402,           0.0096337,           0.0096337,           0.0096337
                  39,            0.044818,            0.041012,           0.0022431,             0.89191,             0.77336,             0.84021,             0.46145,            0.043875,            0.041125,           0.0020645,           0.0096238,           0.0096238,           0.0096238
                  40,            0.044778,            0.041392,           0.0022531,             0.87607,              0.8013,               0.848,             0.46589,            0.043781,            0.041196,           0.0021316,           0.0096139,           0.0096139,           0.0096139
                  41,            0.044181,            0.040835,           0.0021422,             0.89307,             0.79279,             0.85662,             0.46356,            0.043196,            0.040661,            0.001862,            0.009604,            0.009604,            0.009604
                  42,            0.044077,            0.040728,           0.0021518,             0.89167,             0.78624,             0.84238,             0.45511,            0.044094,            0.041182,           0.0020479,           0.0095941,           0.0095941,           0.0095941
                  43,            0.043521,            0.040305,           0.0021968,             0.89932,             0.79592,             0.85056,             0.47726,            0.043033,            0.040493,           0.0019858,           0.0095842,           0.0095842,           0.0095842
                  44,            0.043457,            0.040057,           0.0022254,             0.89947,             0.79927,             0.85175,             0.48091,            0.042313,            0.040329,            0.001778,           0.0095743,           0.0095743,           0.0095743
                  45,            0.043314,            0.040277,           0.0019975,             0.87857,             0.76889,             0.82695,             0.45733,             0.04446,            0.041809,           0.0021465,           0.0095644,           0.0095644,           0.0095644
                  46,            0.043304,            0.039971,           0.0021187,             0.90043,             0.79513,             0.85208,             0.47966,            0.043138,            0.040448,           0.0018022,           0.0095545,           0.0095545,           0.0095545
                  47,            0.042562,            0.039403,           0.0020712,             0.90196,             0.80709,             0.86341,             0.48342,            0.043174,            0.040542,           0.0018333,           0.0095446,           0.0095446,           0.0095446
                  48,            0.042785,            0.039623,           0.0020995,             0.90691,             0.80044,             0.85956,             0.49334,            0.042191,              0.0397,           0.0017807,           0.0095347,           0.0095347,           0.0095347
                  49,            0.042062,            0.038985,            0.001943,                0.91,             0.82452,             0.87238,             0.50228,            0.041743,            0.039462,            0.001705,           0.0095248,           0.0095248,           0.0095248
